               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.077408,            0.033727,                   0,            0.084221,             0.58501,             0.13526,            0.040488,            0.030564,             0.01575,                   0,            0.070194,           0.0033118,           0.0033118
                   1,            0.053363,            0.022631,                   0,             0.47279,             0.56196,              0.5187,             0.17963,            0.025323,            0.011356,                   0,            0.040161,           0.0066123,           0.0066123
                   2,            0.043161,            0.016866,                   0,             0.35995,              0.4755,             0.31286,             0.05387,            0.033649,           0.0073643,                   0,            0.010095,           0.0098797,           0.0098797
                   3,            0.039805,            0.013889,                   0,             0.58374,             0.70605,             0.74774,              0.3599,            0.021945,             0.00752,                   0,           0.0098515,           0.0098515,           0.0098515
                   4,            0.034975,            0.012452,                   0,             0.87821,             0.87896,             0.94242,             0.53798,            0.016925,           0.0069413,                   0,           0.0098515,           0.0098515,           0.0098515
                   5,            0.030512,            0.011103,                   0,              0.8423,             0.87608,             0.93905,             0.52498,            0.016479,           0.0065554,                   0,            0.009802,            0.009802,            0.009802
                   6,            0.028386,            0.010065,                   0,              0.8855,             0.93948,             0.96668,             0.57111,            0.013886,           0.0060119,                   0,           0.0097525,           0.0097525,           0.0097525
                   7,            0.026874,           0.0094637,                   0,             0.95016,             0.92507,              0.9737,             0.62066,            0.013057,           0.0057869,                   0,            0.009703,            0.009703,            0.009703
                   8,            0.023987,           0.0091698,                   0,             0.95815,             0.95101,             0.98482,             0.52356,            0.015467,           0.0055263,                   0,           0.0096535,           0.0096535,           0.0096535
                   9,            0.024662,           0.0085864,                   0,             0.96747,             0.94273,             0.98363,             0.69499,            0.011302,           0.0053627,                   0,            0.009604,            0.009604,            0.009604
                  10,            0.023141,           0.0083848,                   0,             0.96104,             0.95965,             0.97823,             0.57621,             0.01418,           0.0051253,                   0,           0.0095545,           0.0095545,           0.0095545
                  11,             0.02252,           0.0082876,                   0,             0.96838,             0.97085,             0.99217,             0.68702,            0.011257,           0.0051192,                   0,            0.009505,            0.009505,            0.009505
                  12,            0.021192,           0.0077137,                   0,             0.96401,             0.96254,             0.98178,             0.68796,            0.012039,            0.004928,                   0,           0.0094555,           0.0094555,           0.0094555
                  13,            0.020917,           0.0078024,                   0,             0.96916,             0.97406,             0.98803,             0.72399,           0.0098108,           0.0047326,                   0,            0.009406,            0.009406,            0.009406
                  14,              0.0196,           0.0074091,                   0,             0.96708,             0.99135,             0.98834,             0.73037,           0.0094863,           0.0048211,                   0,           0.0093565,           0.0093565,           0.0093565
                  15,            0.020429,           0.0077345,                   0,             0.95745,             0.98271,             0.98663,             0.70508,            0.010682,           0.0050456,                   0,            0.009307,            0.009307,            0.009307
                  16,             0.02101,           0.0072665,                   0,              0.9777,             0.94524,             0.99093,             0.72117,            0.010656,           0.0049315,                   0,           0.0092575,           0.0092575,           0.0092575
                  17,            0.019876,           0.0074829,                   0,             0.97412,             0.97615,             0.99264,             0.72773,           0.0088442,           0.0048767,                   0,            0.009208,            0.009208,            0.009208
                  18,            0.019999,           0.0072043,                   0,             0.97576,             0.98847,             0.99273,             0.74357,           0.0084465,           0.0048782,                   0,           0.0091585,           0.0091585,           0.0091585
                  19,            0.019428,            0.007212,                   0,             0.97991,             0.98374,             0.99426,             0.74068,           0.0098933,           0.0046581,                   0,            0.009109,            0.009109,            0.009109
                  20,            0.018518,           0.0069904,                   0,             0.96028,             0.97529,             0.98933,             0.74259,           0.0097604,           0.0045428,                   0,           0.0090595,           0.0090595,           0.0090595
                  21,            0.018173,           0.0066994,                   0,             0.97135,             0.97692,             0.99306,             0.75678,           0.0093368,           0.0049096,                   0,             0.00901,             0.00901,             0.00901
                  22,            0.018653,           0.0069172,                   0,             0.96258,             0.98559,             0.98598,             0.71826,            0.010405,           0.0048333,                   0,           0.0089605,           0.0089605,           0.0089605
                  23,             0.01835,            0.007157,                   0,             0.97687,             0.97386,             0.98879,             0.69508,            0.011032,           0.0047592,                   0,            0.008911,            0.008911,            0.008911
                  24,              0.0182,           0.0069975,                   0,             0.97965,             0.97092,             0.99234,              0.7673,           0.0088609,           0.0046322,                   0,           0.0088615,           0.0088615,           0.0088615
                  25,            0.017452,             0.00687,                   0,             0.96573,             0.97449,             0.99202,             0.76025,           0.0087803,           0.0050667,                   0,            0.008812,            0.008812,            0.008812
                  26,            0.018239,           0.0068219,                   0,             0.96894,             0.97118,              0.9896,              0.7518,           0.0089584,           0.0048454,                   0,           0.0087625,           0.0087625,           0.0087625
                  27,            0.018578,           0.0069968,                   0,             0.95076,             0.98559,             0.98865,             0.76816,           0.0077919,           0.0045775,                   0,            0.008713,            0.008713,            0.008713
                  28,            0.017595,           0.0066894,                   0,             0.96391,             0.98271,             0.99084,             0.74485,           0.0087293,           0.0046312,                   0,           0.0086635,           0.0086635,           0.0086635
                  29,            0.017332,           0.0065024,                   0,             0.95535,             0.98649,             0.98975,             0.77234,           0.0075479,           0.0047837,                   0,            0.008614,            0.008614,            0.008614
                  30,            0.016199,           0.0064723,                   0,             0.96607,             0.97695,             0.99189,             0.77461,           0.0078487,           0.0046459,                   0,           0.0085645,           0.0085645,           0.0085645
                  31,            0.016442,           0.0062629,                   0,             0.96087,             0.99081,             0.98603,             0.76152,           0.0083618,           0.0042955,                   0,            0.008515,            0.008515,            0.008515
                  32,            0.018403,           0.0066923,                   0,             0.97971,             0.97393,             0.99218,             0.77465,           0.0092844,           0.0042963,                   0,           0.0084655,           0.0084655,           0.0084655
                  33,            0.016931,           0.0066321,                   0,             0.97714,             0.98545,             0.99368,             0.77034,           0.0091411,           0.0047649,                   0,            0.008416,            0.008416,            0.008416
                  34,             0.01605,           0.0065371,                   0,             0.96774,             0.97983,             0.98808,             0.75594,           0.0092474,           0.0046909,                   0,           0.0083665,           0.0083665,           0.0083665
                  35,            0.016706,           0.0063318,                   0,              0.9463,             0.96496,             0.97533,             0.76075,           0.0091477,            0.004648,                   0,            0.008317,            0.008317,            0.008317
                  36,             0.01645,           0.0064547,                   0,             0.98126,             0.97406,             0.99371,             0.76572,            0.008476,           0.0045134,                   0,           0.0082675,           0.0082675,           0.0082675
                  37,            0.016911,           0.0064269,                   0,             0.96915,             0.99135,             0.99083,             0.75749,           0.0083817,           0.0042909,                   0,            0.008218,            0.008218,            0.008218
                  38,            0.016357,           0.0065276,                   0,             0.96859,             0.98559,             0.99164,             0.76077,           0.0085351,           0.0049013,                   0,           0.0081685,           0.0081685,           0.0081685
                  39,            0.016475,           0.0062948,                   0,             0.96254,             0.99424,             0.99281,             0.76646,           0.0081601,           0.0044292,                   0,            0.008119,            0.008119,            0.008119
                  40,            0.015901,           0.0064878,                   0,             0.97577,             0.99135,             0.99277,             0.77615,           0.0085494,           0.0045457,                   0,           0.0080695,           0.0080695,           0.0080695
                  41,            0.016026,           0.0063222,                   0,             0.96689,             0.99135,             0.98689,              0.7523,           0.0086752,           0.0045524,                   0,             0.00802,             0.00802,             0.00802
                  42,            0.015528,           0.0062721,                   0,             0.97714,             0.99424,             0.99404,             0.78872,           0.0085927,           0.0045487,                   0,           0.0079705,           0.0079705,           0.0079705
                  43,            0.015794,           0.0061792,                   0,             0.95835,             0.99135,             0.99236,             0.78602,           0.0077518,           0.0046791,                   0,            0.007921,            0.007921,            0.007921
                  44,            0.014877,           0.0060869,                   0,             0.96098,             0.99135,              0.9849,             0.76589,           0.0084985,           0.0043034,                   0,           0.0078715,           0.0078715,           0.0078715
                  45,            0.015743,           0.0060986,                   0,              0.9637,             0.99448,             0.99324,             0.78607,           0.0075662,           0.0045362,                   0,            0.007822,            0.007822,            0.007822
                  46,            0.015283,           0.0060567,                   0,             0.96839,             0.98559,             0.99287,             0.77916,           0.0078011,           0.0042916,                   0,           0.0077725,           0.0077725,           0.0077725
                  47,            0.015597,           0.0059094,                   0,             0.97411,             0.97584,             0.99348,             0.78471,           0.0078141,           0.0044208,                   0,            0.007723,            0.007723,            0.007723
                  48,            0.015381,            0.006145,                   0,             0.96978,             0.97983,             0.98691,             0.79806,           0.0070871,           0.0044162,                   0,           0.0076735,           0.0076735,           0.0076735
                  49,            0.014434,           0.0058588,                   0,             0.96603,             0.98346,             0.98741,             0.77134,           0.0084696,            0.004572,                   0,            0.007624,            0.007624,            0.007624
                  50,            0.015009,           0.0060325,                   0,               0.963,             0.97983,             0.99195,             0.80015,           0.0077847,           0.0047211,                   0,           0.0075745,           0.0075745,           0.0075745
                  51,             0.01476,           0.0059442,                   0,             0.95305,             0.99438,             0.98907,             0.78751,           0.0085665,           0.0044495,                   0,            0.007525,            0.007525,            0.007525
                  52,            0.014793,           0.0059122,                   0,              0.9719,             0.99672,             0.99243,              0.7909,           0.0084423,           0.0044827,                   0,           0.0074755,           0.0074755,           0.0074755
                  53,            0.014311,           0.0060446,                   0,             0.95806,             0.99712,             0.99285,             0.78474,           0.0087596,           0.0047653,                   0,            0.007426,            0.007426,            0.007426
                  54,            0.014228,           0.0056645,                   0,             0.95821,             0.99119,             0.99149,             0.76819,           0.0090308,           0.0055856,                   0,           0.0073765,           0.0073765,           0.0073765
                  55,            0.014911,           0.0059046,                   0,             0.97162,             0.98667,             0.98745,             0.78984,           0.0087221,           0.0045838,                   0,            0.007327,            0.007327,            0.007327
                  56,            0.014838,           0.0059228,                   0,             0.96887,             0.98647,             0.99249,             0.79012,           0.0085781,           0.0043545,                   0,           0.0072775,           0.0072775,           0.0072775
                  57,            0.013749,           0.0057437,                   0,             0.96591,             0.98559,             0.99267,              0.7982,           0.0078766,           0.0043286,                   0,            0.007228,            0.007228,            0.007228
                  58,            0.014559,           0.0058931,                   0,             0.96636,             0.99328,             0.99282,             0.78941,           0.0080225,           0.0042816,                   0,           0.0071785,           0.0071785,           0.0071785
                  59,            0.014272,           0.0060798,                   0,               0.967,             0.98847,             0.99239,             0.81128,           0.0075527,           0.0043171,                   0,            0.007129,            0.007129,            0.007129
                  60,            0.014264,           0.0060042,                   0,             0.97457,             0.97118,             0.99139,             0.79753,           0.0082339,           0.0043126,                   0,           0.0070795,           0.0070795,           0.0070795
                  61,             0.01443,           0.0058215,                   0,             0.97694,             0.98271,             0.99339,             0.79214,            0.008704,           0.0044835,                   0,             0.00703,             0.00703,             0.00703
                  62,            0.014455,           0.0058105,                   0,             0.98257,              0.9749,             0.99404,              0.7809,           0.0082759,           0.0046525,                   0,           0.0069805,           0.0069805,           0.0069805
                  63,            0.013848,           0.0056238,                   0,             0.97755,             0.97406,             0.99329,             0.78991,           0.0090006,           0.0047793,                   0,            0.006931,            0.006931,            0.006931
                  64,            0.014288,           0.0057843,                   0,             0.96998,             0.98559,             0.99347,              0.8041,           0.0081052,           0.0047004,                   0,           0.0068815,           0.0068815,           0.0068815
                  65,            0.014858,           0.0058764,                   0,             0.97432,              0.9841,             0.99392,             0.80763,           0.0076964,           0.0043014,                   0,            0.006832,            0.006832,            0.006832
                  66,            0.014608,           0.0059399,                   0,             0.97682,              0.9715,             0.99364,             0.79421,           0.0088732,           0.0044123,                   0,           0.0067825,           0.0067825,           0.0067825
                  67,            0.014921,           0.0059105,                   0,              0.9911,             0.95389,             0.99348,             0.80079,           0.0085465,           0.0044912,                   0,            0.006733,            0.006733,            0.006733
                  68,            0.015202,           0.0056123,                   0,             0.97034,             0.99135,             0.99389,              0.8007,           0.0087436,           0.0042804,                   0,           0.0066835,           0.0066835,           0.0066835
                  69,             0.01374,           0.0055994,                   0,             0.97703,             0.98061,             0.99328,             0.80064,           0.0080829,           0.0045448,                   0,            0.006634,            0.006634,            0.006634
                  70,            0.013763,           0.0056805,                   0,             0.98361,              0.9683,             0.99355,             0.76788,           0.0089683,           0.0045807,                   0,           0.0065845,           0.0065845,           0.0065845
                  71,            0.014457,           0.0058907,                   0,             0.98018,             0.97406,             0.99374,             0.78101,            0.008276,           0.0045957,                   0,            0.006535,            0.006535,            0.006535
                  72,            0.013869,           0.0057101,                   0,               0.978,             0.97118,             0.99289,             0.81132,           0.0071596,           0.0042855,                   0,           0.0064855,           0.0064855,           0.0064855
                  73,            0.014727,           0.0057577,                   0,             0.98573,             0.94524,             0.99233,             0.80249,           0.0083824,           0.0044658,                   0,            0.006436,            0.006436,            0.006436
                  74,            0.013938,           0.0058047,                   0,             0.96208,             0.95061,             0.99114,             0.80867,            0.007866,           0.0046567,                   0,           0.0063865,           0.0063865,           0.0063865
                  75,            0.013404,           0.0057782,                   0,             0.98775,             0.92947,             0.98707,             0.79392,           0.0085641,           0.0050532,                   0,            0.006337,            0.006337,            0.006337
                  76,            0.013693,           0.0056212,                   0,             0.97579,             0.94236,             0.98975,              0.8063,           0.0078007,            0.004905,                   0,           0.0062875,           0.0062875,           0.0062875
                  77,            0.013054,           0.0053712,                   0,             0.97625,             0.94754,             0.99011,             0.81404,           0.0070963,           0.0051532,                   0,            0.006238,            0.006238,            0.006238
                  78,            0.012844,           0.0055781,                   0,             0.96531,             0.96217,             0.99138,             0.81504,            0.007509,           0.0047203,                   0,           0.0061885,           0.0061885,           0.0061885
                  79,            0.013306,           0.0055748,                   0,             0.96459,             0.95677,             0.98649,              0.7939,           0.0077223,           0.0050075,                   0,            0.006139,            0.006139,            0.006139
                  80,            0.013768,           0.0056577,                   0,             0.97916,             0.95101,             0.99051,             0.79829,           0.0080595,            0.005087,                   0,           0.0060895,           0.0060895,           0.0060895
                  81,            0.013349,           0.0056377,                   0,             0.98226,             0.94524,              0.9912,             0.79992,           0.0082252,           0.0048705,                   0,             0.00604,             0.00604,             0.00604
                  82,            0.013355,           0.0056563,                   0,             0.98453,             0.94524,             0.99077,              0.8079,           0.0077672,           0.0050348,                   0,           0.0059905,           0.0059905,           0.0059905
                  83,            0.013695,           0.0056319,                   0,             0.98499,             0.94584,             0.99162,             0.81869,           0.0077524,           0.0045987,                   0,            0.005941,            0.005941,            0.005941
                  84,            0.013589,           0.0054554,                   0,             0.97918,             0.94892,             0.99178,             0.80644,           0.0083109,           0.0047571,                   0,           0.0058915,           0.0058915,           0.0058915
                  85,            0.013591,           0.0055588,                   0,             0.99238,             0.93948,             0.99239,             0.79898,           0.0082128,           0.0048902,                   0,            0.005842,            0.005842,            0.005842
                  86,            0.013899,           0.0055205,                   0,             0.95777,             0.98847,             0.99308,             0.81458,           0.0071119,           0.0046024,                   0,           0.0057925,           0.0057925,           0.0057925
                  87,            0.012729,           0.0057218,                   0,              0.9526,             0.99424,             0.99328,             0.81574,           0.0073893,            0.004612,                   0,            0.005743,            0.005743,            0.005743
                  88,             0.01357,           0.0055994,                   0,             0.98914,             0.94524,             0.99278,             0.80978,           0.0078092,           0.0044591,                   0,           0.0056935,           0.0056935,           0.0056935
                  89,            0.013128,           0.0056725,                   0,             0.95482,             0.99135,              0.9929,             0.80164,           0.0079423,           0.0043453,                   0,            0.005644,            0.005644,            0.005644
                  90,            0.011941,           0.0056335,                   0,             0.95738,             0.98847,             0.99335,             0.81195,           0.0074965,           0.0044461,                   0,           0.0055945,           0.0055945,           0.0055945
                  91,            0.012738,           0.0054517,                   0,             0.97309,              0.9683,             0.99315,             0.81226,           0.0082841,           0.0045526,                   0,            0.005545,            0.005545,            0.005545
                  92,            0.013485,           0.0053052,                   0,             0.94547,             0.98559,             0.99216,             0.82003,           0.0073233,           0.0042875,                   0,           0.0054955,           0.0054955,           0.0054955
                  93,            0.013315,           0.0053125,                   0,             0.96261,             0.97406,             0.99303,             0.82652,           0.0068912,           0.0044451,                   0,            0.005446,            0.005446,            0.005446
                  94,            0.012932,           0.0055222,                   0,             0.96251,             0.96189,             0.99223,              0.8142,           0.0070795,           0.0042528,                   0,           0.0053965,           0.0053965,           0.0053965
                  95,            0.012802,           0.0054095,                   0,             0.97363,             0.95778,             0.99037,             0.80771,           0.0076501,            0.004324,                   0,            0.005347,            0.005347,            0.005347
                  96,            0.013462,           0.0055254,                   0,              0.9766,             0.96219,             0.99005,             0.80575,           0.0077053,            0.004699,                   0,           0.0052975,           0.0052975,           0.0052975
                  97,            0.012625,           0.0054457,                   0,             0.97133,             0.97636,             0.99253,             0.80945,           0.0080315,           0.0044378,                   0,            0.005248,            0.005248,            0.005248
                  98,            0.012338,           0.0051362,                   0,             0.98961,             0.94524,             0.99293,             0.81348,           0.0078893,           0.0046739,                   0,           0.0051985,           0.0051985,           0.0051985
